MinimizeOrder,Conformation,Score,LowerBound,Corrected,FinalEnergy,OldConfLower,OldConfUpper,SubtreeLower,SubtreeUpper,ErrorBound,BoltzmannWeight,PercentContribution,ContributionRank
80,7     9     5     7     9     7     7     17,-87.011402,-88.039887,-87.011402,-86.068223,-87.011402,-52.034268,1.273596e+38,5.236170e+63,5.236170e+63,4.958241e+62,0.016412,77
81,7     9     5     7     9     7     4     11,-87.018747,-87.974887,-87.018747,-86.085220,-87.018747,-85.376526,3.324941e+62,5.301426e+63,4.968932e+63,5.101629e+62,0.016886,76
82,7     9     5     7     9     7     2     13,-87.008773,-87.798818,-86.880863,-86.012488,-87.008773,-53.342627,1.156516e+39,5.213012e+63,5.213012e+63,4.515732e+62,0.014947,79
83,7     9     1     7     9     7     0     14,-86.912486,-88.096735,-86.912486,-85.571475,-86.912486,-81.755467,7.414102e+59,4.431770e+63,4.431028e+63,2.155151e+62,0.007133,98
84,7     9     5     7     9     7     0     23,-86.981476,-88.300132,-86.981476,-86.108909,-86.981476,-84.318617,5.585604e+61,4.978507e+63,4.922651e+63,5.308414e+62,0.017571,72
85,7     9     5     7     9     7     1     23,-86.997188,-88.071708,-86.997188,-86.023193,-86.997188,-85.407080,3.500728e+62,5.112163e+63,4.762090e+63,4.597546e+62,0.015218,78
86,7     9     5     7     9     7     4     19,-86.969202,-87.925341,-86.969202,-86.086085,-86.969202,-85.003642,1.773038e+62,4.876524e+63,4.699221e+63,5.109036e+62,0.016911,75
87,7     9     1     7     9     7     8     14,-86.833653,-88.080933,-86.833653,-85.653209,-86.833653,-82.994477,5.989541e+60,3.880140e+63,3.874151e+63,2.471814e+62,0.008182,96
88,7     9     5     7     9     5     8     17,-86.834415,-87.890093,-86.834415,-85.758635,-86.834415,-49.398572,1.495873e+36,3.885127e+63,3.885127e+63,2.949932e+62,0.009764,92
89,7     9     5     7     9     7     1     24,-86.834100,-87.908621,-86.834100,-85.797048,-86.834100,-83.791532,2.296583e+61,3.883067e+63,3.860101e+63,3.146252e+62,0.010414,90
